motivo viaje,hora inicio,latitud origen,latitud destino,longitud origen,longitud destino,duracion viaje,dia habil,troncal origen,troncal destino
Trabajar,05:00:00,4.56916,4.6046,-74.11784,-74.07708000000001,01:00:00,1,H,J
Volver a casa,16:20:00,4.6046,4.56916,-74.07708000000001,-74.11784,01:00:00,1,J,H
Trabajar,04:30:00,4.56916,4.713430000000001,-74.11784,-74.11499,01:16:00,1,H,C
Volver a casa,15:16:00,4.713430000000001,4.56916,-74.11499,-74.11784,01:16:00,1,C,H
Otra cosa,05:30:00,4.56139,4.60887,-74.11355999999999,-74.07621999999999,01:15:00,1,H,J
Volver a casa,07:35:25,4.60887,4.56139,-74.07621999999999,-74.11355999999999,01:04:44,1,J,H
Trabajar,04:04:00,4.5692900000000005,4.5730699999999995,-74.11785,-74.15628000000001,01:36:00,1,H,H
Volver a casa,14:08:00,4.5730699999999995,4.5692900000000005,-74.15628000000001,-74.11785,00:52:00,1,H,H
Buscar/dejar dejar algo,08:09:00,4.67938,4.61899,-74.13866,-74.0754,00:29:00,1,D,A
Volver a casa,09:16:00,4.61899,4.67938,-74.0754,-74.13866,00:46:00,1,A,D
Trabajar,08:00:00,4.67938,4.6513,-74.13866,-74.05129000000001,01:00:00,1,D,A
Volver a casa,14:21:00,4.6513,4.67938,-74.05129000000001,-74.13866,01:31:00,1,A,D
Estudiar,10:14:00,4.67834,4.62622,-74.13758,-74.08175,01:01:00,1,D,A
Volver a casa,13:41:47,4.62622,4.67834,-74.08175,-74.13758,02:37:27,1,A,D
Trabajar,13:28:00,4.76262,4.75959,-74.02207,-74.02213,00:42:00,1,B,B
Compras,15:20:00,4.55609,4.6349800000000005,-74.10844,-74.06189,02:00:00,1,H,A
Volver a casa,19:00:00,4.6349800000000005,4.55685,-74.06189,-74.10746,01:00:00,1,A,H
Trabajar,06:00:00,4.61951,4.61723,-74.17035,-74.06778,01:30:00,1,G,J
Volver a casa,17:00:00,4.61723,4.61951,-74.06778,-74.17035,01:30:00,1,J,G
Estudiar,14:00:00,4.61907,4.60067,-74.16963,-74.06661,02:00:00,1,G,J
Volver a casa,17:46:00,4.60067,4.61907,-74.06661,-74.16963,01:55:00,1,J,G
Trabajar,05:30:00,4.5694,4.5785599999999995,-74.118,-74.10794,00:30:00,1,H,H
Volver a casa,19:00:00,4.5785599999999995,4.5694,-74.10794,-74.118,00:45:00,1,H,H
Compras,13:00:00,4.55552,4.556780000000001,-74.10761,-74.10994000000001,01:00:00,1,H,H
Volver a casa,16:20:00,4.556780000000001,4.55552,-74.10994000000001,-74.10761,01:00:00,1,H,H
Asuntos de Trabajo,04:20:00,4.6055,4.70029,-74.19416,-74.05932,02:00:00,1,G,B
Volver a casa,10:50:00,4.70029,4.6055,-74.05932,-74.19416,02:00:00,1,B,G
Compras,09:30:00,4.59669,4.588019999999999,-74.08921,-74.10001,00:30:00,1,L,L
Volver a casa,11:41:00,4.588019999999999,4.59669,-74.10001,-74.08921,00:29:00,1,L,L
Compras,09:00:00,4.59669,4.588019999999999,-74.08921,-74.10001,00:30:00,1,L,L
Volver a casa,10:37:30,4.588019999999999,4.59669,-74.10001,-74.08921,00:19:30,1,L,L
Volver a casa,13:35:00,4.62654,4.59625,-74.06564,-74.08707,00:30:00,1,A,L
Trabajar,08:00:00,4.59625,4.61078,-74.08707,-74.08608000000001,00:50:00,1,L,J
Volver a casa,15:26:00,4.61078,4.59625,-74.08608000000001,-74.08707,00:55:00,1,J,L
Recibir atencion en salud,12:52:00,4.6113,4.68971,-74.19728,-74.0541,01:01:00,1,G,B
Volver a casa,13:58:00,4.68971,4.6113,-74.0541,-74.19728,01:54:00,1,B,G
Estudiar,07:06:00,4.61077,4.609780000000001,-74.06913,-74.06774,01:00:00,1,J,J
Volver a casa,15:12:00,4.609780000000001,4.6113,-74.06774,-74.19728,02:00:00,1,J,G
